id,first_name,last_name,email,mobile_number,address,created_at,is_staff
1,Dibin,Sunuwar,,1455855628,Lalitpur,5/21/2025,FALSE
2,Asutosh,Dhungel,asutosh.dhungel2@test.org,3782676370,Kathmandu,4/14/2025,FALSE
3,Abhishu,Dhungana,abhishu.dhungana3@sample.net,8862331684,Birjung,2/26/2025,FALSE
4,Palshang,Sunuwar,palshang.sunuwar4@test.org,3100903993,Makwanpur,1/12/2025,FALSE
5,Dibin,Chaudhary,dibin.chaudhary5@yahoo.com,3367307725,Kathmandu,2/13/2025,FALSE
6,Moshin,Raeen,moshin.raeen6@yahoo.com,1620218983,Ithari,5/2/2025,FALSE
7,Asutosh,Bhatta,,6325740369,Birtamod,3/20/2025,FALSE
8,Moshin,Shrestha,moshin.shrestha8@hotmail.com,7313293452,Dhangadi,2/10/2025,FALSE
9,Bigyan,Sunuwar,bigyan.sunuwar9@yahoo.com,2826275260,Butwal,3/3/2025,FALSE
10,Nishal,Sunuwar,,7617691961,Bhaktapur,4/3/2025,FALSE
11,Ashmita,Khadka,ashmita.khadka11@yahoo.com,8930083926,Kathmandu,2/6/2025,FALSE
12,Rachita,Koirala,rachita.koirala12@gmail.com,6117533963,Dhangadi,4/20/2025,FALSE
13,Bigyan,Raeen,bigyan.raeen13@sample.net,7520352189,Kathmandu,3/13/2025,FALSE
14,Sukreet,Raeen,sukreet.raeen14@test.org,2815979891,Biratnagar,1/13/2025,FALSE
15,Ashmita,Sanjel,ashmita.sanjel15@hotmail.com,9533427751,Mahendranagar,6/19/2025,FALSE
16,Rachita,Shrestha,rachita.shrestha16@sample.net,5446504957,Sinduli,6/29/2025,FALSE
17,Nirajan,Dhungel,,5548259406,Sinduli,7/5/2025,FALSE
18,Nishal,Bajagain,nishal.bajagain18@yahoo.com,2000987579,Butwal,3/25/2025,FALSE
19,Ishan,Dhungel,ishan.dhungel19@test.org,6655551314,Rasuwa,1/13/2025,FALSE
20,Moshin,Dhungel,moshin.dhungel20@ymail.com,8159485533,Birjung,3/17/2025,FALSE
21,Abhishu,Chaudhary,abhishu.chaudhary21@hotmail.com,9505524018,Mahendranagar,7/3/2025,FALSE
22,Ashmita,Bartaula,ashmita.bartaula22@ymail.com,1450981766,Biratnagar,3/22/2025,FALSE
23,Dinesh,Sapkota,dinesh.sapkota23@hotmail.com,5235703588,Birtamod,5/8/2025,FALSE
24,Moshin,Dhungana,moshin.dhungana24@test.org,6274451744,Ithari,1/12/2025,FALSE
25,Bigyan,Karki,bigyan.karki25@yahoo.com,9374014128,Birtamod,6/17/2025,FALSE
26,Bigyan,Bartaula,bigyan.bartaula26@ymail.com,9695173212,Biratnagar,3/21/2025,FALSE
27,Alishan,Bajagain,alishan.bajagain27@gmail.com,5222516054,Birjung,5/16/2025,FALSE
28,Ishani,Bhatta,ishani.bhatta28@test.org,6084896778,Pokhara,7/9/2025,FALSE
29,Nirajan,Dhungel,nirajan.dhungel29@sample.net,110695530,Ithari,5/26/2025,FALSE
30,Moshin,Shrestha,moshin.shrestha30@hotmail.com,6210058555,Kavrepalanchowk,6/24/2025,FALSE
31,Sandesh,Dhungana,sandesh.dhungana31@ymail.com,922547763,Ithari,6/9/2025,FALSE
32,Moshin,Banjara,moshin.banjara32@gmail.com,2627989726,Birtamod,4/14/2025,FALSE
33,Jagadish,Banjara,jagadish.banjara33@test.org,3387194044,Kavrepalanchowk,2/1/2025,FALSE
34,Sandesh,Raeen,,3040407880,Jhapa,1/14/2025,FALSE
35,Ishan,Dhakal,ishan.dhakal35@yahoo.com,7172279914,Rasuwa,4/10/2025,FALSE
36,Dibin,Khadka,dibin.khadka36@yahoo.com,6036009762,Mahendranagar,4/16/2025,FALSE
37,Ishan,Sanjel,ishan.sanjel37@test.org,1522113717,Biratnagar,6/20/2025,FALSE
38,Ashmita,Banjara,ashmita.banjara38@gmail.com,9598809907,Kathmandu,2/6/2025,FALSE
39,Dibin,Khatri,dibin.khatri39@sample.net,2497114736,Jhapa,4/24/2025,FALSE
40,Sukreet,Banjara,sukreet.banjara40@test.org,7864074984,Lalitpur,2/12/2025,FALSE
41,Bigyan,Koirala,bigyan.koirala41@ymail.com,8718130235,Sinduli,4/10/2025,FALSE
42,Moshin,Koirala,moshin.koirala42@test.org,411922183,Pokhara,7/8/2025,FALSE
43,Uddhav,Karki,uddhav.karki43@sample.net,7535511947,Birjung,3/15/2025,FALSE
44,Sukreet,Koirala,sukreet.koirala44@sample.net,818978118,Makwanpur,1/16/2025,FALSE
45,Ashmita,Adhikari,ashmita.adhikari45@gmail.com,6366936952,Kavrepalanchowk,5/16/2025,FALSE
46,Sukreet,Sapkota,sukreet.sapkota46@hotmail.com,9483407586,Kavrepalanchowk,7/5/2025,FALSE
47,Rachita,Khatri,rachita.khatri47@test.org,4994195201,Birjung,2/18/2025,FALSE
48,Uddhav,Tamang,uddhav.tamang48@yahoo.com,4983907987,Rasuwa,4/1/2025,FALSE
49,Ishan,Sunuwar,ishan.sunuwar49@hotmail.com,8377127509,Birtamod,5/10/2025,FALSE
50,Jagadish,Raeen,jagadish.raeen50@hotmail.com,6108290557,Jhapa,5/17/2025,FALSE
51,Jagadish,Shrestha,jagadish.shrestha51@gmail.com,2319431602,Sinduli,3/2/2025,FALSE
52,Dibin,Dhungana,dibin.dhungana52@yahoo.com,4922723437,Pokhara,1/6/2025,FALSE
53,Sukreet,Tamang,sukreet.tamang53@gmail.com,5096256320,Biratnagar,1/19/2025,FALSE
54,Abhishu,Koirala,abhishu.koirala54@ymail.com,6782577629,Rasuwa,1/13/2025,FALSE
55,Rabindra,Bhatta,rabindra.bhatta55@test.org,7607989618,Bhaktapur,6/1/2025,FALSE
56,Moshin,Acharya,moshin.acharya56@hotmail.com,1762668267,Sinduli,6/22/2025,FALSE
57,Sandesh,Koirala,sandesh.koirala57@hotmail.com,1777493136,Sinduli,4/21/2025,FALSE
58,Moshin,Karki,moshin.karki58@sample.net,7092731459,Dhangadi,4/16/2025,FALSE
59,Rachita,Acharya,,7250362543,Ithari,3/8/2025,FALSE
60,Asutosh,Khatri,asutosh.khatri60@test.org,9896771314,Kathmandu,4/26/2025,FALSE
61,Nirajan,Koirala,nirajan.koirala61@hotmail.com,1044477967,Ithari,1/16/2025,FALSE
62,Dinesh,Sunuwar,dinesh.sunuwar62@yahoo.com,3212880443,Sindupalchowk,2/14/2025,FALSE
63,Dinesh,Tamang,dinesh.tamang63@test.org,8753057771,Birtamod,2/9/2025,FALSE
64,Abhishu,Dhungana,,3033282172,Lalitpur,5/11/2025,FALSE
65,Sukreet,Sunuwar,sukreet.sunuwar65@sample.net,4163374528,Ithari,2/10/2025,FALSE
