"id","first_name","last_name","email","department","supervisor_id","mobile_number","is_active","hire_date","salary"
1,Rabindra,Karki,rabindra.karki1@yahoo.com,Cleansing,,"9749724098",true,2025-07-11,57928.28
2,Moshin,Sunuwar,moshin.sunuwar2@test.org,Security,1,"9821631786",true,2025-02-08,34666.68
3,Asutosh,Khatri,asutosh.khatri3@sample.net,HR,2,"8316096364",false,2025-03-14,54761.74
4,Sukreet,Sanjel,sukreet.sanjel4@hotmail.com,Cashier,1,"1547952208",true,2025-03-12,71333.67
5,Dinesh,Karki,dinesh.karki5@gmail.com,Cashier,3,"3677641426",true,2025-06-20,65375.95
6,Ishan,Koirala,ishan.koirala6@hotmail.com,Cashier,2,"0887003558",false,2025-03-15,36817.06
7,Uddhav,Adhikari,uddhav.adhikari7@sample.net,Cleansing,1,"0067445019",true,2025-04-06,37669.30
8,Ashmita,Banjara,ashmita.banjara8@test.org,Inventory,5,"6053773519",false,2025-04-06,47231.44
9,Dinesh,Sapkota,dinesh.sapkota9@ymail.com,Cashier,3,"4674273406",false,2025-02-08,65456.01
10,Ishani,Tamang,ishani.tamang10@hotmail.com,Security,7,"2539489828",true,2025-05-31,54900.53
11,Ishan,Tamang,ishan.tamang11@yahoo.com,Cleansing,10,"7176778947",false,2025-06-25,41200.18
12,Sukreet,Dhungel,sukreet.dhungel12@sample.net,Inventory,9,"5235069605",false,2025-01-12,52571.62
13,Ashmita,Bajagain,ashmita.bajagain13@hotmail.com,Inventory,5,"0846160577",true,2025-04-16,55157.55
14,Dibin,Bajagain,dibin.bajagain14@test.org,Cashier,11,"5832930453",false,2025-06-24,30707.34
15,Ishan,Bartaula,ishan.bartaula15@test.org,Cleansing,11,"4246514872",false,2025-07-09,45515.69
16,Abhishu,Dhungel,abhishu.dhungel16@sample.net,HR,5,"3185749426",false,2025-05-16,71814.90
17,Sukreet,Koirala,sukreet.koirala17@test.org,Inventory,14,"6773617332",true,2025-01-17,77167.35
18,Bigyan,Dhungana,bigyan.dhungana18@hotmail.com,Cleansing,10,"8630733144",false,2025-06-13,45443.82
19,Alishan,Khatri,alishan.khatri19@yahoo.com,Cashier,5,"5109393369",false,2025-04-21,32958.51
20,Palshang,Sunuwar,palshang.sunuwar20@sample.net,Security,15,"2304260811",true,2025-02-07,57453.18
